Symbol	SRR2182228	SRR2182229	SRR2182230	SRR2182231	SRR2182232	SRR2182233	SRR2182234	SRR2182235	SRR2182285	SRR2182286	SRR2182287	SRR2182288	SRR2182289	SRR2182290	SRR2182291	SRR2182292	SRR2182293	SRR2182294	SRR2182295	SRR2182296	SRR2182297	SRR2182298	SRR2182299	SRR2182300	SRR2182301	SRR2182302	SRR2182303	SRR2182304	SRR2182305	SRR2182306	SRR2182307	SRR2182308	SRR2182309	SRR2182310	SRR2182311	SRR2182312	SRR2182313	SRR2182314	SRR2182315	SRR2182316	SRR2182317	SRR2182318	SRR2182319	SRR2182320	SRR2182321	SRR2182322	SRR2182323	SRR2182324	SRR2182325	SRR2182326	SRR2182327	SRR2182328	SRR2182329	SRR2182330	SRR2182331
COX1	1229977	1090248	1053801	1251180	1219475	1519119	1586430	1036078	1348359	623428	1094328	921932	458974	2066228	841629	1004178	735073	463958	1505378	708761	1104752	2432316	885937	1059433	1395580	753353	1103996	1909406	1016374	2287253	844798	1010121	549360	475190	1148240	894524	428041	496046	816204	1574436	624148	1508488	764317	1261814	786715	2832656	554775	1521534	680796	389957	856854	1131017	553438	2877084	494830
COX2	441803	363620	363905	417348	403945	518419	555515	343384	518523	260066	390037	355819	165101	804973	323255	377656	265606	251900	528578	249072	392239	995640	324827	374223	515636	289146	396094	657277	375089	888411	303568	335202	188681	175328	390520	297614	139959	184920	279074	534116	205171	547818	272958	429627	270485	994957	202990	826541	226660	137118	314647	383966	185653	996010	179937
CYTB	416804	344423	317203	388078	411920	478351	485839	321170	569219	234882	421766	384812	188233	854758	343400	412881	302782	150245	578265	263600	411541	947056	340834	420377	569792	300895	432236	733729	414318	897204	330139	354461	188987	182203	401127	338322	156593	184836	287264	574710	228492	553902	268542	460475	262827	997661	187163	365398	245117	132910	295672	389328	200804	997190	161300
COX3	415792	336009	340797	400845	386981	493769	525631	326725	495654	265081	395146	338699	160377	765156	301817	357793	259936	230605	536550	270926	406449	951292	322550	387004	510462	285522	409911	715158	371194	867519	307046	333569	184320	157164	381549	312169	135016	167096	273316	539310	197061	482139	258285	402725	272312	920250	184904	903102	225009	131274	286301	359318	183582	941960	166035
ATP6	412981	358018	329715	426370	403268	508661	512063	347195	500155	233775	397264	339047	163205	752997	315383	364896	261887	147903	522928	254460	378429	882452	313614	385284	502658	272076	391273	637626	363521	825489	301264	320196	183376	168329	373772	329070	144389	177453	269338	536768	212467	520404	255058	408782	246872	931106	186984	493727	227316	128679	286035	372256	185800	947750	157030
ND4	397726	349319	293075	410214	369498	489723	467830	350199	456412	182136	376375	310068	156365	721003	292210	337360	252531	84676	497335	234117	349453	717687	282369	368892	446789	246401	360809	599848	324391	729299	274390	303701	157470	152389	332418	291100	134027	150743	239959	486333	196721	451216	215594	395428	225699	888619	160183	181627	221285	118564	246575	345791	181150	901873	136642
Meg3	243989	143401	217001	116255	114194	145578	185767	76994	204508	77551	194064	165844	73521	519857	164716	177318	116864	69325	400121	232627	281523	597773	169041	309395	335749	209450	255326	577818	243022	595297	182491	383256	141906	131965	280815	239168	109277	130317	224098	430475	156106	432291	223556	277578	93710	685312	84617	257327	96749	105070	141661	164415	77371	588868	84209
Camk2a	161436	218834	110163	166653	177091	176785	150222	183769	76694	20523	100394	58686	30442	137996	81946	76208	47413	14694	141064	58179	99975	155908	63770	90421	97183	55737	95569	149249	70876	174589	68944	133371	60535	51690	130192	95759	53926	42495	86709	141274	76988	159943	83096	271381	152831	731496	111751	181405	153794	83657	169468	222997	124143	714418	96839
ND1	291292	231792	226450	268764	249860	323638	350480	227770	320827	143688	247773	221207	108844	479968	192864	229796	176071	112660	333729	143413	228585	535447	191394	237021	312340	165649	240265	384770	227528	513039	180046	201354	110455	103776	232300	184336	92761	108763	167831	320683	135718	325542	154887	277653	165884	626915	119516	255359	148415	85456	183664	242598	120660	632727	100315
ND5	297183	251404	221400	271291	282992	326935	332889	260922	287385	99359	262981	199426	106330	485007	215926	234327	172250	41907	380896	137360	216308	416929	186050	215244	260034	148189	231465	323886	189198	440515	180521	212164	107063	97053	242188	176962	89820	100465	168063	305839	131881	313635	154977	295058	156387	640527	120425	110993	141354	83320	183936	244581	114740	651082	101330
ND2	241269	200933	186244	237976	211658	279912	289416	199966	261807	105079	209210	186524	89473	409859	168800	197659	144259	71300	279513	118057	184837	413517	156953	194200	247473	134457	194838	307563	180676	414969	150065	163757	88956	88542	190029	157628	74566	90538	136681	271005	110058	271597	128924	234529	131250	519465	102228	131292	122502	68605	155921	206893	100201	527762	83965
Mbp	19506	40603	33390	27615	32581	40655	46742	53068	178471	103961	108642	131387	82574	306578	65198	126358	130456	107816	178310	73920	107502	225009	71175	109187	145603	76340	93823	217917	105500	205778	67289	246765	137128	95435	414961	137598	147523	125090	315156	510149	212653	364544	156467	69763	34374	122684	21573	55907	31687	13144	30079	40926	25735	131904	21874
Kif5a	151364	124870	147318	135513	101082	164732	199391	121473	179894	80012	145080	123286	72437	291734	105650	143053	116523	57500	256665	56826	92170	171274	66390	89000	100780	63266	81293	171588	72988	185747	56556	284189	151707	111061	413307	198565	142786	131181	294974	469102	207886	418879	183238	166682	94452	361881	61292	139982	82235	45657	91790	121150	66342	356063	56460
Atp1a3	130211	145263	106468	141018	97616	163124	158425	145355	182551	85409	102068	122847	68604	267608	82686	126415	110418	65853	200756	67064	125221	259930	71800	116251	148273	68560	100663	200791	107416	239643	76285	161346	81410	60207	128855	126583	63872	59913	97346	178278	92043	195886	87190	255115	134744	525236	78224	333503	124441	61772	118345	190019	100607	511996	72648
Slc1a2	215519	187223	151244	261655	189286	226901	223671	144718	103414	32711	157422	81885	39271	222987	101002	96360	62005	22474	210522	67891	110163	158745	86097	106569	112513	69095	132924	191130	81139	201876	91519	190324	76188	75533	213234	118384	74027	64407	152336	254998	108079	246279	122332	190953	93390	454216	70122	72380	102232	63735	113876	151042	78002	514313	67359
Ncdn	79017	113076	45850	97679	92571	89787	71364	88700	119372	52756	88693	82577	52250	186563	75539	90859	83871	51776	149858	83311	129880	241626	79682	121272	180315	81613	115424	224443	130868	245877	79058	120053	43830	43955	84261	87864	36782	36585	60966	135288	53407	109343	56202	155025	91498	383452	66590	282734	94446	45533	100883	122392	76923	382436	54800
Cpe	154871	118656	97109	174726	136193	166717	167086	127166	114240	54286	88649	79931	44084	172928	74250	92125	71083	85431	146195	51644	100940	182737	59346	81128	116899	54461	81902	157163	85590	158896	53956	137357	71339	55328	141906	94229	54923	56920	103484	184318	79360	169809	92165	189264	122710	413382	81092	312496	104541	52924	119992	170119	84798	389065	72621
Ndrg4	72098	70748	54161	67143	61938	72471	76069	49612	135827	53442	110248	99180	45605	213084	73395	91097	72341	41896	147418	111068	161983	335268	103408	173433	206428	102293	146728	283088	148619	322227	111225	119003	54529	48235	110491	121184	46922	49411	79777	177749	66960	140312	68179	118558	58788	255944	42105	101287	59420	32832	67694	85879	48841	250421	36808
Plp1	21943	41115	33170	31881	36950	40885	43769	64133	111330	66109	83687	85819	51349	225063	51819	85141	82790	91323	142399	55621	76422	166741	58811	77114	95916	56930	76226	157950	70188	154123	53519	160864	92386	65708	291039	100772	96928	88086	229902	349301	139744	250282	113689	48904	24925	95432	18730	29536	22859	10413	25180	30629	18228	102420	17298
Gapdh	97632	97902	94240	98608	100669	113733	137611	110740	134109	68611	91754	91239	47651	196316	71767	90608	77049	64652	146787	59887	106926	243073	69437	98668	135219	66479	95122	177018	98358	211217	68004	126046	63683	52697	136065	101307	51224	55941	98193	164125	75184	163253	86766	140584	85799	317194	59668	371631	75175	39248	91388	107482	60870	303083	52716
Eef1a1	126671	162972	142500	193203	251811	217474	216243	183838	130024	63695	89524	86949	48049	193853	71685	94755	76345	64803	149945	79265	131422	264781	79364	110694	169573	80020	110536	207022	122100	226911	78075	139785	65272	55963	143753	104734	52141	56435	101938	203243	75827	154666	89702	136633	80996	288875	53919	212882	74853	39303	89390	104666	61274	287689	48692
Calm1	118247	111138	98465	109586	117179	132200	134827	109339	116632	46361	112381	88301	42092	199427	89891	96172	66825	38337	156274	72789	112399	224072	76810	105751	134474	71667	111185	173630	96749	220730	80022	156302	74138	59107	150308	110296	57935	58636	107445	185208	84651	180003	96502	155251	93063	362081	64683	141127	81636	45289	102335	125337	65161	353586	57899
Hspa8	72507	81446	67533	95247	85102	108706	107523	100241	116557	64825	71202	83742	41303	176672	59033	84443	66217	61533	135523	53550	94582	214556	51923	84514	108803	56022	71670	152765	78030	168602	53857	126663	65543	50148	117685	101436	46165	51283	86523	167507	66465	142483	77905	139107	79683	306377	49683	263922	67991	36553	77706	109009	54220	275176	47205
Snap25	100315	97692	70705	88858	73980	95931	113550	94972	83247	37612	67503	56016	29977	132950	56237	59956	47981	36795	107063	33462	63023	141963	44392	58519	69329	38254	53479	94229	50071	129728	39400	99826	58724	40970	115031	86155	43104	50471	80476	115870	63332	154470	69681	127447	75133	327869	62969	128483	68393	35088	88232	100058	55207	296605	50699
Hsp90ab1	78233	79926	64190	83511	77604	88558	91026	92593	90909	41915	69042	74090	34638	153966	58963	78887	58055	44814	126517	54787	98076	184340	56699	86045	109892	54453	83535	154609	79203	161800	60039	120297	64024	45534	111600	85967	49142	47285	86813	165498	74557	140353	74115	135386	77694	298199	50276	156080	66311	35017	75573	114918	51376	278999	44625
Snhg11	123003	77482	107334	78048	72889	94133	112953	48366	83727	33445	78576	65992	29792	190323	65471	72055	48312	37698	155735	56902	76981	174044	50723	82000	94770	55522	73593	152024	68951	164093	51724	134005	60317	47006	111705	82532	43423	48554	87491	142222	63260	167140	81848	108166	42115	264205	37289	98351	40113	40010	58079	70209	33031	237393	38260
Norad	85872	91024	70747	87692	74510	107639	101240	102898	84668	38317	68241	59771	31729	138251	56397	65700	50926	46186	117307	54925	80088	145526	48692	70773	92352	48608	67191	114416	63693	132325	47741	99543	46400	34568	83662	76143	35428	33971	61271	109295	51197	105215	52532	118632	70304	306216	49354	126694	68987	33592	70881	97314	57080	268135	45464
Apoe	102825	82593	73349	129398	193677	134622	130603	92348	95115	49024	55255	60286	31830	125672	39004	58790	50708	62383	83864	34194	61023	125169	36443	52476	83742	39680	51369	103674	60681	110940	35198	70944	33892	28729	78847	45027	26274	28052	52396	96494	38829	84042	45212	80946	46973	166600	32007	275577	54627	24676	52157	67107	43469	183274	29904
Psap	89588	106209	107172	125903	155089	139595	156673	137189	99520	46309	70423	70557	37647	153935	57978	75616	60038	56313	118203	47615	83904	178320	51457	75390	107385	51840	70991	138356	78059	156289	49933	105694	55099	43167	115661	81130	44325	44138	81213	135422	64643	138047	70875	118024	65105	244523	42857	168577	60016	31925	67588	88642	48834	232355	38639
Map1a	80291	107169	73124	87091	71620	93042	96071	98538	79615	29709	82373	56474	30064	140805	59369	61526	47248	12741	122894	38766	61094	101013	44091	57748	61762	38822	70873	113344	45354	129588	54069	80375	37947	31592	76912	62124	31571	29365	49701	101653	51313	104989	46469	111191	61641	270489	40049	68679	52891	32645	60659	85577	43591	272878	39587
Slc17a7	56752	69111	43150	50618	44080	60888	58052	70809	7284	1146	13144	5932	4068	12331	17126	11303	6562	2877	21382	1801	12217	27255	3287	7831	2107	3362	1372	5272	1591	14344	994	61429	38124	23213	69569	48353	30075	27313	52022	62511	43752	94366	43406	94958	55849	245187	37562	141933	52394	27603	58244	75552	43142	224162	32352
Nptxr	43491	57282	24548	31676	44433	45142	31464	78488	14819	4577	18574	11205	7244	24536	22201	23306	11458	7085	33198	4388	14703	20461	4538	8140	8262	4160	5997	13086	6515	16763	4349	28009	18048	11464	28593	22438	15652	9055	21391	27500	23234	38806	23522	117158	68698	262530	41014	101970	60733	30893	62956	90383	48300	228941	37235
Aldoa	72829	75055	57395	75888	71861	81685	84959	88080	75169	38096	54217	53590	27728	106326	43819	52293	44671	39512	84747	38727	69019	142705	41610	62554	85555	40587	55353	107593	61888	126112	39648	84888	45758	33688	87039	71931	36615	35453	62694	105373	53558	106468	54655	116936	68890	254747	45962	233470	63053	31700	68956	91196	51135	237865	40776
Atp1b1	85225	81800	65326	78129	70560	95062	99596	91429	82499	34326	55396	53940	31181	127352	45731	63058	51164	31295	102369	38153	64628	133499	38172	57030	72652	36025	52489	100562	53550	114538	39109	91316	43483	30492	74947	65613	31791	31863	57001	97054	45639	95593	53454	137813	77026	272097	50783	94243	67145	34745	76259	105045	54494	271877	48382
Sparcl1	142484	107446	92254	156450	143901	156423	156089	68603	106435	51757	66130	70219	41985	170260	49195	77225	66954	52725	117900	29935	50701	109786	32358	45382	67055	32603	44690	88501	48509	96797	30964	87600	48508	35694	92041	66758	38196	36017	68808	107403	55361	115946	60730	107808	61645	223332	42914	136612	60004	33195	67776	86184	48729	231313	39507
Ddn	70833	72680	56972	77286	65011	92602	71170	39586	58256	24081	60148	42526	21707	94591	46766	46936	33189	13754	69529	48180	75134	130236	48677	65482	85803	46390	67447	114437	62309	127690	46400	56566	31082	24205	52136	56390	24379	21048	36169	72786	36975	73686	39863	89777	60230	249251	48392	111393	70269	33092	66769	80872	57249	273504	39471
Ppp3ca	45063	75013	28612	58886	68046	58397	39770	59186	75414	39315	94154	78186	25871	150470	55850	53577	42774	32145	95142	54718	84559	165710	71279	80009	98592	63342	93086	136311	73175	193280	69345	54980	23990	25966	63315	50984	18990	26676	41211	91242	28400	63848	35942	71626	42927	223495	42455	65274	46310	25697	66192	59597	36132	216862	37174
App	79453	68666	62744	80439	82905	81185	95478	84584	91783	41388	71379	67635	33514	147596	56862	69452	57178	47851	118169	46672	77707	164436	52746	71665	97961	48851	70363	127154	70155	152368	51016	101809	52241	41219	114857	78314	45590	43030	86228	134881	66069	133247	66596	115627	66304	261724	45464	130512	58468	31894	65672	87058	46936	234866	41650
Kif1a	93945	84694	80504	81262	59582	83060	113566	72866	62286	22560	64787	46167	29991	132953	50215	63156	50318	13733	133152	37294	53622	90064	40016	60357	59692	38554	61246	105139	43750	108669	42415	119182	49208	40369	122389	79579	52165	42315	92381	145258	74765	131406	67147	119980	47323	239337	33165	46003	47746	29145	52563	81748	40526	231616	31352
Arf3	70499	77270	60270	73902	64811	85988	80314	73616	88558	31465	69287	65745	30627	132219	57026	64195	49280	33286	98276	50493	88937	175626	60964	84029	119666	56745	80834	147376	86466	175729	58548	80764	41874	37992	83193	74508	35510	35565	57719	111925	51621	109688	52304	99700	59219	243821	42156	83125	56315	27752	63229	77557	45895	227434	35141
Pkm	69024	71109	69921	74679	70695	82665	99678	97188	96918	48681	69875	66731	35692	149719	51480	68011	57300	46663	111986	47069	81195	156957	47558	73685	97420	47792	68076	131690	70042	140180	48639	84947	44849	32200	86630	72335	34952	34689	64402	111551	50309	101049	54205	106184	60696	224342	39418	215650	53651	28035	59595	81855	44633	215667	36208
Ubb	63351	61207	57446	69005	73728	76736	86032	68513	108119	53510	62933	75150	36887	139564	48635	68600	59801	58085	100848	49719	85585	184528	49344	79003	117137	53016	68084	141247	85090	153263	48847	98894	47423	38549	90036	79011	37957	39389	64273	126984	54645	112548	58108	102699	59116	207119	37561	222816	59227	26509	59286	79385	47875	197267	33489
Dnm1	56228	63658	39917	58105	46729	62705	61941	59791	58457	26737	36246	40330	20704	82099	31548	42522	34049	29364	65923	23634	42016	88271	22547	39608	49354	22951	30516	66964	35944	73400	21642	76553	42237	28007	69881	60279	30514	29302	51956	80620	45683	98449	45480	99545	56772	232312	38070	215987	54622	25991	57808	76725	43257	209393	32767
Scd2	81528	77449	72323	90752	94269	97819	103239	81154	109874	50614	81571	80907	46490	191733	55622	84410	74802	57343	136266	47299	77429	145350	51141	71401	96024	48764	70427	134232	69901	138665	47951	114300	61547	46882	149488	80034	56701	51266	113271	189261	82648	155203	73676	94452	53201	204392	35900	69898	50010	26545	52975	72804	40587	200011	31487
Cplx2	59774	78795	35338	66848	74816	74805	52267	71455	74893	30659	64492	54208	23758	109377	42332	50264	38302	16986	77718	43942	67001	125250	48476	68783	82715	43282	66463	122458	60327	142487	49956	58463	28496	22754	57164	56009	21693	27139	34377	83142	31140	75676	33454	99444	57604	232377	44331	119257	60171	29787	66674	81591	48732	234840	35872
Penk	3571	693	881	1375	1865	1116	1343	1325	89361	42000	70030	56797	25044	133196	49601	48355	40398	36187	80747	52681	75999	159945	57698	74567	106268	53397	79109	128210	77646	161873	57044	18249	7737	10887	25206	32455	7244	12708	14741	57413	10696	22537	11362	4838	1773	3453	425	6384	640	431	660	916	540	2850	385
Hpca	9958	45783	8424	16044	28295	23045	11945	79032	54394	26008	54005	47585	15433	76261	30382	30259	24741	10595	42851	32421	53274	100686	38777	53005	63542	33153	49365	89118	46261	105824	36742	25386	12234	13215	29000	29646	10723	13361	17427	53367	14486	33585	15134	77794	45915	215035	35372	181517	43162	18912	46323	64618	35687	174097	29326
Calm3	48432	62752	40554	59682	46218	64522	61492	57302	68475	31257	52973	48192	24352	102219	43335	49768	39789	31697	79741	29560	51800	113701	34483	47585	60417	33184	46578	82234	44657	102301	32848	69826	35710	28026	68272	53437	26069	27900	48947	80761	38361	85985	42532	91625	60639	240840	43961	155317	54293	28629	65450	76512	44374	226385	36505
Nsf	52901	54784	33586	49286	43538	55091	52147	52149	43508	14415	41751	29975	17227	82002	36370	35625	29120	9463	78916	20810	38305	70771	24917	34562	37009	21927	35258	55542	27940	68058	26172	52495	24292	18603	54905	35030	21249	19708	39433	53166	30088	61407	32773	101785	54165	243425	41377	29457	48794	29229	65960	74934	41774	235806	33986
Fth1	42345	69567	59155	70955	82867	89209	92331	114382	83815	54627	52286	58826	31480	127415	37845	61040	51163	76007	79613	33222	54880	123786	35398	47868	72742	36906	43917	97047	51804	107850	32225	93329	54504	39620	132951	65907	48335	46792	93613	169898	69742	138004	61598	73301	46241	169807	32856	214115	41574	19564	47303	58217	34167	166512	29542
Syt1	85907	85932	62548	92480	67733	87695	100848	86999	50304	19038	49737	33909	18124	84060	40990	41573	29020	13639	84898	30080	52401	98533	35952	49774	54589	31243	46648	79606	39563	97679	33458	77663	42105	28597	80314	63413	31728	32239	58858	86780	46326	97536	48580	106488	58276	240782	41540	57786	51867	28593	62975	82690	42166	224611	37799
Ywhaz	33007	39674	24204	37530	38228	40439	42172	39549	58308	18488	58147	45085	21959	110509	46169	50569	33135	21476	86537	43230	76444	139183	50403	67545	89446	43152	73302	108560	60823	142621	53287	80886	33619	27846	78909	44339	25810	29447	57539	98135	37224	80464	46014	80014	43868	223161	33771	37049	35559	24439	56503	62879	29302	198997	29403
Map2	94491	76031	82175	83102	68152	93115	103373	72004	48068	15643	53824	37422	23526	103631	47248	51583	36241	14195	112080	36274	54324	93573	39770	51935	61467	33127	59937	90027	44102	99861	41127	79935	35393	30035	72691	52792	30159	28706	56288	96357	44912	95319	50247	93856	49527	221554	34581	38490	45882	31199	54404	71514	38159	221405	32049
Ppp1r1b	1512	1148	1015	1075	1366	1347	1434	717	76865	35303	64677	61344	20599	97789	35967	36321	32912	16280	47828	44763	73655	146676	54045	76189	107165	50694	70191	129980	77677	163813	53088	19519	10183	13728	31093	37281	10673	15341	17522	65522	15717	31989	13702	6001	1742	5075	876	6282	1164	591	1257	2340	838	5001	784
Camk2b	38344	74201	23808	45699	51702	47848	31139	51968	55169	23330	55759	45992	18729	99795	36475	38606	29459	14553	68024	44539	77707	126933	50020	74342	90184	48316	72678	129008	65852	144291	50694	50575	26795	21410	51654	46751	21358	22424	37082	80052	31116	63981	31035	77379	40556	202420	33644	96297	45294	23444	51057	61660	37241	196038	26203
Mobp	7186	20104	15371	12889	12620	16758	19754	29984	55914	31695	45124	44483	27891	106671	25022	45458	44294	34933	65359	27466	38573	77814	30068	41030	49238	27623	36794	83364	35597	75961	25782	89247	52007	33310	157872	55117	54224	44634	119870	197705	79593	129956	56654	22153	10892	40969	7817	20346	10030	4212	10297	12828	8301	44502	7027
Syp	82071	68882	57623	70448	55967	75650	86999	72873	51726	21332	40632	35090	21356	85876	36530	41923	34402	24118	82172	21448	40601	86870	23358	35996	45759	22046	32950	59521	33356	71282	23343	77063	38738	26864	72174	52537	30770	26656	55844	78818	44359	88350	47735	101342	56329	222271	37922	114071	49249	27464	59642	78085	40168	209809	35277
Gfap	47633	90126	93322	113352	144547	109060	131436	132814	5174	3487	3148	4134	3158	10987	2389	4593	4645	6681	5947	929	2113	4498	782	1432	2264	1734	1145	4312	1403	3548	890	11003	6647	5238	14091	4820	5054	4530	11644	21116	8012	15087	9224	17890	10672	42024	7552	40628	13234	5810	12413	15962	10189	49737	7661
Adcy5	10771	4879	7835	7623	9106	8994	10571	6154	64612	22918	68261	54038	18381	115698	37826	38872	31309	7741	60925	44984	78956	131392	59356	82686	90158	58181	83620	139992	62962	166954	63719	30490	12268	17677	38893	35921	13464	15758	25443	73474	16208	39199	18281	15504	7361	27165	4555	9028	6400	3685	7502	6916	5375	27909	4290
Agap2	57186	61607	48880	57856	48972	71712	61577	50437	63247	26992	55300	49319	21596	95042	40384	46429	34441	17633	69197	46840	75490	136234	44543	72898	88642	44845	60901	125829	64925	136390	44453	79646	37533	31694	64379	64106	30152	28238	45360	98894	43702	93834	43047	83977	50826	199565	31081	119078	48272	25599	47003	66155	39061	193303	28442
Ckb	43656	42336	36610	49643	49475	51160	57495	34673	109679	58450	78334	79634	35161	151965	47049	62893	56454	56573	90545	50695	79701	171441	52007	78186	100619	51355	69596	135478	73546	159991	50514	74940	37673	29840	78322	64885	28712	33192	55228	111068	41622	90909	45066	49736	29053	107894	19490	152620	28439	14565	29646	37989	23078	106873	17483
Arpp21	20906	10345	10008	16141	10583	12498	17088	4708	43881	18742	47541	38037	13053	87035	31419	29774	21589	10629	47258	50944	83190	152378	62568	77852	105910	58858	84950	127143	77224	165584	62406	30520	14872	16429	39925	39872	12523	18040	25424	74320	19423	42153	23057	11682	6331	23849	4017	10288	5174	3627	7216	7467	4288	23082	4130
Map1b	69750	87281	58368	79376	70248	89259	76125	84369	47160	15835	45155	35245	21116	95100	35714	44598	33942	11356	87074	22600	42645	63868	29321	39329	41714	24348	38891	67091	30584	74878	27323	73445	39710	28060	74340	53114	33147	28880	58173	86645	48130	94897	47550	92028	48257	208156	34492	37292	48542	25027	50223	71774	40020	203032	29960
Aplp1	51765	45336	38156	53107	43556	56930	55671	42530	81678	45797	55052	56143	30030	118259	41342	55093	48400	48188	87966	48543	77286	141304	43065	68115	92128	44678	60380	130450	66397	127038	41325	86460	46900	32612	91804	71215	35590	34950	67862	128326	53516	99961	50835	73600	46516	159367	28523	179099	41161	21724	42600	56256	34266	158657	24779
Hpcal4	73544	46266	58377	57102	48033	70073	73433	41128	37997	13599	38181	27787	16664	71009	39695	41905	27893	15763	72367	41489	70721	123072	40069	62505	84280	41048	60793	111745	61472	108487	40247	79286	43057	33719	88617	69424	36273	33338	65028	103230	52630	115164	56212	84138	54271	199142	31768	77365	43151	26990	51411	66538	35228	191945	28728
Nrgn	22298	30948	18572	16243	24708	27525	27140	30053	41452	18373	35550	38899	14254	58668	27724	26772	23211	20418	37398	9333	17115	33827	15656	17357	23104	13594	15417	28744	16615	50933	12487	31848	20374	15458	36929	31934	16646	18014	25176	36303	23417	61268	22404	66834	42275	175889	33499	197807	41253	18715	48598	47488	33650	158961	26725
Olfm1	34564	51375	17914	45613	44809	45862	28984	36545	13996	6757	13854	9355	5349	19953	14136	14057	8220	9854	23862	4303	11917	23331	4730	7578	8181	4317	5578	11886	6048	17070	3719	33677	22116	12808	39569	25270	15852	15089	27723	36490	22571	50893	24900	53202	40128	167424	30572	186632	36681	19320	49553	50811	29814	152878	23831
Fbxl16	36156	34839	27403	35531	32982	40900	37384	27795	69000	30199	64796	55507	23626	105626	41962	46614	37652	12491	71784	53977	86483	155564	58282	81943	108158	53240	81907	145876	78212	158502	57794	60253	29736	27698	64308	64574	27255	26545	44836	100578	39614	78076	38475	58056	36158	143301	23984	53791	35258	17775	36503	46805	28274	140124	20491
Glul	83203	75582	47573	97233	90695	86032	90475	43540	70438	27922	55361	51485	27716	121659	37912	54176	44559	24893	83887	33929	56417	116429	38673	53541	68378	38092	53667	96457	50322	108161	36437	88192	45181	35326	106734	63203	38415	37638	76114	130458	57165	119191	61736	77761	42540	180462	32345	50406	47534	26598	50554	62538	38767	191155	29782
Sptan1	61597	56376	48521	59216	63996	64771	65165	46207	61399	31316	38196	41196	20725	80096	29289	40063	32667	29903	60320	32249	57241	108232	27475	51606	70184	30809	41802	92309	50818	93042	29527	75243	40926	27981	67370	62693	28315	27421	50520	94033	42661	88554	45928	76428	45686	170201	28413	196062	45050	22690	44668	57726	36356	165071	26635
Atp1a2	97077	78480	69383	98837	155500	91628	110110	74118	72627	29138	52295	49995	28478	127060	38022	48545	46574	28812	84336	23224	41419	79383	28765	37575	48962	31499	42330	71496	35305	77563	28180	61277	27544	24924	66328	40934	24254	25873	47736	83568	35379	73367	41231	74222	36219	156945	27195	66467	54615	22385	46005	56429	45078	167099	27358
Calm2	65252	56407	45549	61839	56364	70120	71692	57511	73396	35024	62320	53327	22657	108406	46293	49107	36813	32698	80152	35488	63116	140256	46669	56241	74827	40917	57175	95467	53860	127999	43376	65577	35667	27731	70370	55243	24836	30439	49073	87442	36310	85764	45501	77612	50180	182930	36171	134098	41210	22547	55340	65378	33272	172340	33010
Rtn1	48441	43960	34257	44001	35896	49085	50455	35010	59568	24575	40259	43248	22978	89886	36838	48232	36649	28895	74681	28265	54099	113242	29915	46792	65143	29922	40391	82248	47021	93934	29587	67703	34819	26851	63929	53066	28835	27118	49645	84003	42118	84910	44490	83865	51107	199916	33381	98577	47212	23743	53578	66659	37617	184427	29283
Gpr88	2329	1165	780	3191	1215	917	1933	9	52656	16711	60757	52645	13832	83003	28798	28399	22910	5163	44653	43549	69655	116354	51104	73734	79963	46496	70503	117516	63553	133336	52452	22294	8547	15655	30120	40053	9305	16253	16682	71381	14454	30051	13423	2700	316	2066	11	1430	19	15	36	327	17	1069	14
Eef2	49550	58021	53609	66923	81825	75775	75883	58022	82079	41596	45205	52555	28394	105583	33768	47591	44225	42094	74370	32140	57975	118726	33124	51093	73323	35446	45947	96478	53698	106583	31935	76747	37283	29731	74546	57238	28819	30298	52296	100486	41800	92226	45345	69487	38744	144487	25208	191213	39340	19152	37913	49937	31718	145523	22133
Gpm6a	87684	73487	52124	93472	70791	95151	85127	63052	45653	19562	44980	33325	17424	79145	36209	38756	27665	27981	73398	28478	51703	99442	33922	43276	58993	30159	45628	75951	42288	88702	31481	68694	38388	27432	75676	54143	28498	29370	55328	85163	41452	89946	49157	79328	50974	191413	37125	74064	44750	25278	56285	68977	36152	187378	32439
ND6	75480	63910	57840	77387	77630	90514	88857	70339	94159	46064	67595	60485	33583	128832	59541	66420	53500	34233	92701	38676	60063	134322	49299	61786	83441	40304	56796	83992	60652	125410	43534	53546	31286	26399	56679	48695	26119	28313	40516	75955	38043	87803	39128	80397	49798	173115	38953	123994	43017	23287	52573	68741	35334	168456	29672
Ppp1r9b	43244	54755	37077	57427	44689	65309	52511	54053	55643	24964	43764	42626	18026	77059	32411	39019	29353	18318	56751	35333	59339	113541	35931	55968	73849	36529	49390	102312	54329	111787	36114	64182	31261	24295	54946	48165	24068	22309	37666	82994	34077	72381	34420	77706	49605	183317	29399	107301	44861	22000	43266	66345	36713	173572	27138
Pde1b	8777	8686	5865	9501	9216	9079	7816	4051	51627	24301	53012	43109	14626	83612	28580	29904	23014	7196	46412	46538	69283	125561	49438	74001	83302	46883	68159	120793	61081	142896	50545	24065	10714	13528	30899	39188	10152	14499	18363	67400	14748	30731	14888	8478	4232	17361	3150	13802	4553	2613	6027	5942	3877	19680	2561
